Year: 2017, Month: 0, Temp: 0.00, Precip: 0.00, Height: 0.00, Deer: 1, Ticks: 0
Year: 2017, Month: 1, Temp: 30.71, Precip: 0.51, Height: 0.87, Deer: 0, Ticks: 0
Year: 2017, Month: 2, Temp: 42.49, Precip: 10.09, Height: 8.39, Deer: 1, Ticks: 0
Year: 2017, Month: 3, Temp: 46.53, Precip: 21.66, Height: 9.23, Deer: 2, Ticks: 27
Year: 2017, Month: 4, Temp: 63.83, Precip: 15.55, Height: 8.25, Deer: 3, Ticks: 131
Year: 2017, Month: 5, Temp: 59.96, Precip: 0.00, Height: 6.81, Deer: 4, Ticks: 224
Year: 2017, Month: 6, Temp: 77.97, Precip: 12.20, Height: 4.81, Deer: 5, Ticks: 398
Year: 2017, Month: 7, Temp: 65.97, Precip: 1.33, Height: 2.31, Deer: 4, Ticks: 412
Year: 2017, Month: 8, Temp: 61.84, Precip: 0.00, Height: 0.34, Deer: 3, Ticks: 291
Year: 2017, Month: 9, Temp: 49.54, Precip: 0.00, Height: 0.02, Deer: 2, Ticks: 118
Year: 2017, Month: 10, Temp: 39.83, Precip: 0.00, Height: 1.96, Deer: 1, Ticks: 0
Year: 2017, Month: 11, Temp: 33.45, Precip: 12.61, Height: 6.33, Deer: 2, Ticks: 0
Year: 2018, Month: 0, Temp: 26.56, Precip: 2.85, Height: 6.12, Deer: 3, Ticks: 0
Year: 2018, Month: 1, Temp: 33.41, Precip: 11.08, Height: 9.74, Deer: 4, Ticks: 0
Year: 2018, Month: 2, Temp: 35.01, Precip: 21.78, Height: 9.29, Deer: 5, Ticks: 0
Year: 2018, Month: 3, Temp: 45.43, Precip: 18.65, Height: 9.61, Deer: 6, Ticks: 144
Year: 2018, Month: 4, Temp: 71.19, Precip: 9.58, Height: 6.61, Deer: 7, Ticks: 637
Year: 2018, Month: 5, Temp: 60.39, Precip: 17.09, Height: 3.19, Deer: 6, Ticks: 562
Year: 2018, Month: 6, Temp: 63.25, Precip: 11.59, Height: 0.22, Deer: 5, Ticks: 439
Year: 2018, Month: 7, Temp: 57.03, Precip: 7.77, Height: 0.00, Deer: 4, Ticks: 370
Year: 2018, Month: 8, Temp: 59.76, Precip: 9.92, Height: 0.00, Deer: 3, Ticks: 293
Year: 2018, Month: 9, Temp: 38.49, Precip: 0.20, Height: 1.49, Deer: 2, Ticks: 0
